product_id,name,category,subcategory,unit_price,unit_cost,supplier_code,stock,created_at,active
1,Bush Somerset Collection Bookcase,Furniture,Bookcases,130.98,91.69,SUP-FUR,377,2016-11-08,1
2,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,243.98,170.79,SUP-FUR,427,2016-11-08,1
3,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,7.31,5.12,SUP-OFF,102,2016-06-12,1
4,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,348.21,243.75,SUP-FUR,169,2015-10-11,1
5,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,13.98,9.79,SUP-OFF,351,2015-10-11,1
6,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,6.98,4.89,SUP-FUR,192,2014-06-09,1
7,Newell 322,Office Supplies,Art,1.82,1.27,SUP-OFF,192,2014-06-09,1
8,Mitel 5320 IP Phone VoIP phone,Technology,Phones,188.99,132.29,SUP-TEC,129,2014-06-09,1
9,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,7.71,5.4,SUP-OFF,160,2014-06-09,1
10,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,22.98,16.09,SUP-OFF,440,2014-06-09,1
11,Chromcraft Rectangular Conference Tables,Furniture,Tables,236.97,165.88,SUP-FUR,222,2014-06-09,1
12,Konftel 250 Conference phone - Charcoal black,Technology,Phones,284.82,199.37,SUP-TEC,102,2014-06-09,1
13,Xerox 1967,Office Supplies,Paper,6.48,4.54,SUP-OFF,97,2017-04-15,1
14,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,169.99,118.99,SUP-OFF,72,2016-12-05,1
15,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,68.81,48.17,SUP-OFF,474,2015-11-22,1
16,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders,4.24,2.97,SUP-OFF,445,2015-11-22,1
17,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,110.98,77.69,SUP-OFF,198,2014-11-11,1
18,Fellowes Super Stor/Drawer,Office Supplies,Storage,27.75,19.42,SUP-OFF,375,2014-05-13,1
19,Newell 341,Office Supplies,Art,4.28,3.0,SUP-OFF,409,2014-08-27,1
20,Cisco SPA 501G IP Phone,Technology,Phones,88.95,62.27,SUP-TEC,133,2014-08-27,1
