sale_id,line_n,product_id,quantity,unit_price,gross_amount,line_discount,net_amount
1,1,1,2,130.98,261.96,0.0,261.96
1,2,2,3,243.98,731.94,0.0,731.94
2,1,3,2,7.31,14.62,0.0,14.62
3,1,4,5,348.21,1741.05,783.47,957.58
3,2,5,2,13.98,27.96,5.59,22.37
4,1,6,7,6.98,48.86,0.0,48.86
4,2,7,4,1.82,7.28,0.0,7.28
4,3,8,6,188.99,1133.94,226.79,907.15
4,4,9,3,7.71,23.13,4.63,18.5
4,5,10,5,22.98,114.9,0.0,114.9
4,6,11,9,236.97,2132.73,426.55,1706.18
4,7,12,4,284.82,1139.28,227.86,911.42
5,1,13,3,6.48,19.44,3.89,15.55
6,1,14,3,169.99,509.97,101.99,407.98
7,1,15,5,68.81,344.05,275.24,68.81
7,2,16,3,4.24,12.72,10.18,2.54
8,1,17,6,110.98,665.88,0.0,665.88
9,1,18,2,27.75,55.5,0.0,55.5
10,1,19,2,4.28,8.56,0.0,8.56
10,2,20,3,88.95,266.85,53.37,213.48
10,3,21,4,7.1,28.4,5.68,22.72
11,1,22,7,2.78,19.46,0.0,19.46
11,2,23,7,8.62,60.34,0.0,60.34
12,1,24,2,50.98,101.96,30.59,71.37
13,1,4,3,348.21,1044.63,0.0,1044.63
14,1,25,2,7.28,14.56,2.91,11.65
14,2,26,3,30.19,90.57,0.0,90.57
15,1,27,7,880.98,6166.86,3083.43,3083.43
15,2,28,2,16.03,32.06,22.44,9.62
15,3,29,3,51.75,155.25,31.05,124.2
15,4,30,2,2.04,4.08,0.82,3.26
15,5,31,6,17.98,107.88,21.58,86.3
15,6,32,6,3.81,22.86,16.0,6.86
15,7,33,2,9.85,19.7,3.94,15.76
16,1,34,3,12.28,36.84,7.37,29.47
17,1,35,7,195.99,1371.93,274.39,1097.54
17,2,36,5,95.46,477.3,286.38,190.92
18,1,37,9,15.74,141.66,28.33,113.33
18,2,38,3,260.98,782.94,250.54,532.4
18,3,39,3,100.98,302.94,90.88,212.06
18,4,40,4,115.99,463.96,92.79,371.17
19,1,41,4,45.99,183.96,36.79,147.17
20,1,42,2,38.94,77.88,0.0,77.88
21,1,43,2,59.76,119.52,23.9,95.62
22,1,44,2,22.99,45.98,0.0,45.98
22,2,45,2,8.73,17.46,0.0,17.46
23,1,46,4,52.99,211.96,0.0,211.96
24,1,47,3,15.0,45.0,0.0,45.0
24,2,48,2,10.9,21.8,0.0,21.8
25,1,49,6,6.37,38.22,0.0,38.22
25,2,50,6,12.53,75.18,0.0,75.18
25,3,51,2,3.08,6.16,0.0,6.16
25,4,52,1,89.99,89.99,0.0,89.99
26,1,53,7,2.18,15.26,0.0,15.26
26,2,54,5,205.99,1029.95,0.0,1029.95
27,1,55,6,34.76,208.56,0.0,208.56
27,2,56,5,6.48,32.4,0.0,32.4
27,3,57,5,70.98,354.9,35.49,319.41
27,4,58,2,7.28,14.56,0.0,14.56
27,5,47,2,15.0,30.0,0.0,30.0
27,6,59,4,15.15,60.6,12.12,48.48
27,7,60,1,1.68,1.68,0.0,1.68
28,1,61,2,6.99,13.98,0.0,13.98
28,2,62,6,5.38,32.28,6.46,25.82
28,3,63,3,48.91,146.73,0.0,146.73
28,4,64,4,19.94,79.76,0.0,79.76
29,1,65,5,60.89,304.45,91.33,213.12
30,1,66,8,173.91,1391.28,278.26,1113.02
30,2,67,4,52.49,209.96,41.99,167.97
31,1,68,2,37.94,75.88,0.0,75.88
32,1,69,1,5.77,5.77,1.15,4.62
33,1,70,3,6.35,19.05,0.0,19.05
34,1,71,8,129.99,1039.92,207.98,831.94
34,2,72,2,60.65,121.3,24.26,97.04
34,3,73,1,90.98,90.98,18.2,72.78
35,1,74,3,2.08,6.24,4.99,1.25
35,2,75,3,8.09,24.27,14.56,9.71
35,3,76,3,11.35,34.05,6.81,27.24
36,1,77,5,9.65,48.25,28.95,19.3
37,1,78,1,208.16,208.16,0.0,208.16
37,2,79,3,5.58,16.74,0.0,16.74
38,1,80,5,2.98,14.9,0.0,14.9
38,2,81,1,21.39,21.39,0.0,21.39
39,1,82,7,35.89,251.23,50.25,200.98
40,1,83,3,95.99,287.97,57.59,230.38
41,1,84,2,150.98,301.96,0.0,301.96
42,1,85,1,19.99,19.99,0.0,19.99
42,2,86,2,3.08,6.16,0.0,6.16
43,1,87,7,28.28,197.96,39.59,158.37
44,1,88,3,6.7,20.1,0.0,20.1
44,2,41,2,45.99,91.98,18.4,73.58
44,3,89,1,6.48,6.48,0.0,6.48
45,1,90,2,6.48,12.96,0.0,12.96
45,2,91,3,17.78,53.34,0.0,53.34
45,3,92,2,16.48,32.96,0.0,32.96
46,1,93,1,18.94,18.94,13.26,5.68
47,1,94,7,13.79,96.53,0.0,96.53
48,1,95,3,21.38,64.14,12.83,51.31
49,1,96,6,12.98,77.88,0.0,77.88
50,1,97,7,11.54,80.78,16.16,64.62
50,2,98,3,39.99,119.97,23.99,95.98
50,3,99,3,2.98,8.94,7.15,1.79
51,1,100,4,5.98,23.92,0.0,23.92
52,1,101,6,49.77,298.62,59.72,238.9
52,2,102,3,42.65,127.95,25.59,102.36
52,3,103,3,40.98,122.94,86.06,36.88
53,1,104,8,11.58,92.64,18.53,74.11
53,2,105,1,34.99,34.99,7.0,27.99
53,3,106,1,4.13,4.13,0.83,3.3
54,1,107,5,84.99,424.95,84.99,339.96
55,1,108,2,20.98,41.96,0.0,41.96
56,1,109,2,37.98,75.96,0.0,75.96
56,2,110,6,4.54,27.24,0.0,27.24
57,1,111,14,3.58,50.12,10.02,40.1
57,2,112,2,2.95,5.9,1.18,4.72
57,3,113,3,9.99,29.97,5.99,23.98
