sale_id,sale_datetime,customer_id,store_id,payment_type,items_count,gross_amount,discount_header,tax,total_amount
1,2016-11-08 11:14:08,1,STORE-SO,Tarjeta,2,993.9,14.87,127.27,1106.3
2,2016-06-12 08:05:13,2,STORE-WE,Tarjeta,1,14.62,0.17,1.88,16.33
3,2015-10-11 14:14:28,3,STORE-SO,Efectivo,2,1769.01,3.4,126.95,1103.5
4,2014-06-09 19:27:21,4,STORE-WE,Efectivo,7,4600.12,23.3,479.83,4170.82
5,2017-04-15 17:16:51,5,STORE-SO,Efectivo,1,19.44,0.01,2.02,17.56
6,2016-12-05 09:35:18,6,STORE-WE,Efectivo,1,509.97,0.23,53.01,460.76
7,2015-11-22 08:42:14,7,STORE-CE,Efectivo,2,356.77,1.38,9.1,79.07
8,2014-11-11 14:17:29,8,STORE-CE,Efectivo,1,665.88,5.13,85.9,746.65
9,2014-05-13 11:42:17,9,STORE-WE,Tarjeta,1,55.5,0.39,7.16,62.27
10,2014-08-27 16:46:15,10,STORE-WE,Tarjeta,3,303.81,2.63,31.48,273.61
11,2016-12-09 11:43:20,11,STORE-CE,Efectivo,2,79.8,1.31,10.2,88.69
12,2017-07-16 20:20:25,12,STORE-EA,Tarjeta,1,101.96,0.98,9.15,79.54
13,2015-09-25 19:20:13,13,STORE-WE,Efectivo,1,1044.63,9.06,134.62,1170.19
14,2016-01-16 10:16:08,14,STORE-WE,Tarjeta,2,105.13,1.04,13.15,114.33
15,2015-09-17 17:25:23,15,STORE-EA,Efectivo,7,6508.69,56.55,425.47,3698.35
16,2017-10-19 20:43:27,16,STORE-CE,Tarjeta,1,36.84,0.3,3.79,32.96
17,2016-12-08 15:33:16,17,STORE-CE,Tarjeta,2,1849.23,17.55,165.22,1436.13
18,2015-12-27 18:56:34,18,STORE-CE,Efectivo,4,1691.5,1.1,159.62,1387.48
19,2017-09-10 10:29:00,19,STORE-CE,Efectivo,1,183.96,0.63,19.05,165.59
20,2016-07-17 09:55:40,20,STORE-WE,Efectivo,1,77.88,0.71,10.03,87.2
21,2017-09-19 16:49:59,21,STORE-SO,Efectivo,1,119.52,0.36,12.38,107.64
22,2016-03-11 08:07:59,22,STORE-CE,Tarjeta,2,63.44,0.28,8.21,71.37
23,2014-10-20 17:05:05,23,STORE-CE,Tarjeta,1,211.96,1.36,27.38,237.98
24,2016-06-20 20:08:08,24,STORE-EA,Efectivo,2,66.8,0.95,8.56,74.41
25,2015-04-18 14:13:59,25,STORE-CE,Efectivo,4,209.55,2.08,26.97,234.44
26,2016-12-11 18:41:23,26,STORE-EA,Efectivo,2,1045.21,11.94,134.33,1167.6
27,2016-06-17 09:21:01,27,STORE-EA,Tarjeta,7,702.7,8.03,84.12,731.18
28,2015-11-24 11:04:57,28,STORE-WE,Efectivo,4,272.75,0.24,34.59,300.64
29,2015-04-30 11:34:08,29,STORE-CE,Efectivo,1,304.45,1.63,27.49,238.98
30,2014-12-05 20:26:12,30,STORE-WE,Efectivo,2,1601.24,23.07,163.53,1421.45
31,2016-06-04 15:55:46,31,STORE-SO,Tarjeta,1,75.88,0.18,9.84,85.54
32,2016-09-18 20:55:06,32,STORE-EA,Efectivo,1,5.77,0.03,0.6,5.19
33,2017-09-14 11:12:34,15,STORE-CE,Tarjeta,1,19.05,0.34,2.43,21.14
34,2015-04-26 15:15:55,33,STORE-SO,Efectivo,3,1252.2,13.22,128.51,1117.05
35,2017-12-09 08:05:59,34,STORE-CE,Tarjeta,3,64.56,0.7,4.88,42.38
36,2014-11-26 10:26:31,33,STORE-CE,Tarjeta,1,48.25,0.13,2.49,21.66
37,2016-06-12 10:24:00,35,STORE-SO,Tarjeta,2,224.9,0.8,29.13,253.23
38,2014-10-12 18:45:31,36,STORE-WE,Efectivo,2,36.29,0.28,4.68,40.69
39,2015-09-03 17:47:34,37,STORE-SO,Efectivo,1,251.23,0.92,26.01,226.07
40,2017-11-13 15:32:58,38,STORE-CE,Tarjeta,1,287.97,4.23,29.4,255.55
41,2017-05-28 16:10:03,23,STORE-SO,Tarjeta,1,301.96,2.43,38.94,338.47
42,2017-10-26 17:04:43,39,STORE-CE,Efectivo,2,26.15,0.08,3.39,29.46
43,2016-04-05 11:37:38,40,STORE-CE,Tarjeta,1,197.96,1.9,20.34,176.81
44,2016-09-17 17:33:20,41,STORE-WE,Efectivo,3,118.56,1.25,12.86,111.77
45,2015-01-31 10:42:41,42,STORE-CE,Tarjeta,3,99.26,0.51,12.84,111.59
46,2017-11-06 17:06:04,43,STORE-WE,Efectivo,1,18.94,0.1,0.73,6.31
47,2017-11-09 13:56:04,44,STORE-EA,Tarjeta,1,96.53,1.31,12.38,107.6
48,2017-06-17 15:53:34,45,STORE-WE,Tarjeta,1,64.14,0.73,6.58,57.16
49,2016-09-06 08:42:52,46,STORE-CE,Efectivo,1,77.88,1.41,9.94,86.41
50,2016-08-29 12:07:56,47,STORE-CE,Efectivo,3,209.69,1.01,20.98,182.36
51,2016-12-01 11:45:21,48,STORE-CE,Tarjeta,1,23.92,0.45,3.05,26.52
52,2015-11-13 08:05:40,49,STORE-WE,Efectivo,3,549.51,4.94,48.52,421.72
53,2017-11-23 18:16:10,50,STORE-SO,Efectivo,3,131.76,1.93,13.45,116.92
54,2015-10-15 09:56:44,51,STORE-CE,Efectivo,1,424.95,2.78,43.83,381.01
55,2017-12-25 16:09:27,52,STORE-EA,Efectivo,1,41.96,0.01,5.45,47.4
56,2016-11-03 13:13:43,53,STORE-CE,Efectivo,2,103.2,1.7,13.19,114.69
57,2014-08-25 14:39:47,54,STORE-EA,Tarjeta,4,249.07,1.5,25.71,223.47
58,2015-03-02 10:47:59,55,STORE-WE,Efectivo,1,787.53,13.27,100.65,874.91
59,2015-04-05 12:10:50,56,STORE-SO,Efectivo,1,525.98,0.6,20.43,177.62
60,2016-06-12 15:14:12,57,STORE-EA,Tarjeta,5,487.5,7.6,62.39,542.29
61,2014-12-26 14:21:17,58,STORE-CE,Tarjeta,1,857.94,3.04,77.68,675.2
62,2014-09-20 14:43:53,59,STORE-CE,Efectivo,1,1235.4,0.13,80.28,697.85
